Entity,Code,Year,Believe climate change is a serious threat to humanity,time
Algeria,DZA,2023,85.1,2023
Armenia,ARM,2023,89.2,2023
Australia,AUS,2023,81.3,2023
Austria,AUT,2023,82.3,2023
Belgium,BEL,2023,79.4,2023
Brazil,BRA,2023,92.6,2023
Bulgaria,BGR,2023,84.6,2023
Canada,CAN,2023,89.1,2023
Chile,CHL,2023,92.5,2023
China,CHN,2023,84.7,2023
Czechia,CZE,2023,89.3,2023
Denmark,DNK,2023,79.8,2023
Ecuador,ECU,2023,90.5,2023
Finland,FIN,2023,79.4,2023
France,FRA,2023,85.5,2023
Gambia,GMB,2023,92.5,2023
Germany,DEU,2023,83.3,2023
Ghana,GHA,2023,93,2023
Greece,GRC,2023,81.3,2023
India,IND,2023,89,2023
Ireland,IRL,2023,87.2,2023
Israel,ISR,2023,73.4,2023
Italy,ITA,2023,91.2,2023
Japan,JPN,2023,79.1,2023
Kenya,KEN,2023,91.2,2023
Latvia,LVA,2023,76.9,2023
Mexico,MEX,2023,91.4,2023
Morocco,MAR,2023,84.9,2023
Netherlands,NLD,2023,80.1,2023
New Zealand,NZL,2023,79.2,2023
Nigeria,NGA,2023,90.1,2023
North Macedonia,MKD,2023,90.8,2023
Norway,NOR,2023,76.2,2023
Peru,PER,2023,90.6,2023
Philippines,PHL,2023,96.7,2023
Poland,POL,2023,83.6,2023
Portugal,PRT,2023,94.1,2023
Romania,ROU,2023,88,2023
Russia,RUS,2023,81.2,2023
Saudi Arabia,SAU,2023,74,2023
Serbia,SRB,2023,92.4,2023
Singapore,SGP,2023,83.9,2023
Slovakia,SVK,2023,79.4,2023
Slovenia,SVN,2023,80.1,2023
South Africa,ZAF,2023,89.1,2023
South Korea,KOR,2023,85.7,2023
Spain,ESP,2023,88.2,2023
Sri Lanka,LKA,2023,88.7,2023
Sudan,SDN,2023,79.2,2023
Sweden,SWE,2023,79.3,2023
Switzerland,CHE,2023,84.5,2023
Taiwan,TWN,2023,79.3,2023
Tanzania,TZA,2023,92.9,2023
Thailand,THA,2023,84,2023
Turkey,TUR,2023,92.5,2023
Uganda,UGA,2023,93.4,2023
Ukraine,UKR,2023,88.4,2023
United Arab Emirates,ARE,2023,81.9,2023
United Kingdom,GBR,2023,82.7,2023
United States,USA,2023,76.9,2023
Uruguay,URY,2023,91.7,2023
Venezuela,VEN,2023,92,2023
Vietnam,VNM,2023,91.6,2023