country,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,7.587,7.509,7.493999958,7.487,7.48,7.559899807,7.571,7.512,7.24
Iceland,7.561,7.501,7.504000187,7.495,7.494,7.504499912,7.554,7.557,7.53
Denmark,7.527,7.526,7.521999836,7.555,7.6,7.645599842,7.62,7.636,7.586
Norway,7.522,7.498,7.537000179,7.594,7.554,7.487999916,7.392,7.365,7.315
Canada,7.427,7.404,7.315999985,7.328,7.278,7.23210001,7.103,7.025,6.961
Finland,7.406,7.413,7.468999863,7.632,7.769,7.808700085,7.842,7.821,7.804
Netherlands,7.378,7.339,7.376999855,7.441,7.488,7.448900223,7.464,7.415,7.403
Sweden,7.364,7.291,7.28399992,7.314,7.343,7.353499889,7.363,7.384,7.395
New Zealand,7.286,7.334,7.31400013,7.324,7.307,7.299600124,7.277,7.2,7.123
Australia,7.284,7.313,7.28399992,7.272,7.228,7.222799778,7.183,7.162,7.095
Israel,7.278,7.267,7.212999821,6.814,7.139,7.128600121,7.157,7.364,7.473
Costa Rica,7.226,7.087,7.078999996,7.072,7.167,7.121399879,7.069,6.582,6.609
Austria,7.2,7.119,7.006000042,7.139,7.246,7.294199944,7.268,7.163,7.097
Mexico,7.187,6.778,6.578000069,6.488,6.595,6.465000153,6.317,6.128,6.33
United States,7.119,7.104,6.993000031,6.886,6.892,6.939599991,6.951,6.977,6.894
Brazil,6.983,6.952,6.635000229,6.419,6.3,6.375599861,6.33,6.293,6.125
Luxembourg,6.946,6.871,6.862999916,6.91,7.09,7.237500191,7.324,7.404,7.228
Ireland,6.94,6.907,6.977000237,6.977,7.021,7.093699932,7.085,7.041,6.911
Belgium,6.937,6.929,6.890999794,6.927,6.923,6.863500118,6.834,6.805,6.859
United Arab Emirates,6.901,6.573,6.647999763,6.774,6.825,6.790800095,6.561,6.576,6.571
United Kingdom,6.867,6.725,6.714000225,7.19,7.054,7.164500237,7.064,6.943,6.796
Oman,6.853,,,,,,,,
Venezuela,6.81,6.084,5.25,4.806,4.707,5.053199768,4.892,4.925,5.211
Singapore,6.798,6.739,6.572000027,6.343,6.262,6.377099991,6.377,6.48,6.587
Panama,6.786,6.701,6.452000141,6.43,6.321,6.304800034,6.18,6.309,6.265
Germany,6.75,6.994,6.951000214,6.965,6.985,7.075799942,7.155,7.034,6.892
Chile,6.67,6.705,6.65199995,6.476,6.444,6.228499889,6.172,6.172,6.334
Qatar,6.611,6.375,6.375,6.374,6.374,,,,
France,6.575,6.478,6.441999912,6.489,6.592,6.663799763,6.69,6.687,6.661
Argentina,6.574,6.65,6.598999977,6.388,6.086,5.974699974,5.929,5.967,6.024
Czech Republic,6.505,6.596,6.609000206,6.711,6.852,6.910900116,6.965,,
Uruguay,6.485,6.545,6.453999996,6.379,6.293,6.440100193,6.431,6.474,6.494
Colombia,6.477,6.481,6.356999874,6.26,6.125,6.163400173,6.012,5.781,5.63
Thailand,6.455,6.474,6.423999786,6.072,6.008,5.998799801,5.985,5.891,5.843
Saudi Arabia,6.411,6.379,6.343999863,6.371,6.375,6.406499863,6.494,6.523,6.463
Spain,6.329,6.361,6.402999878,6.31,6.354,6.400899887,6.491,6.476,6.436
Malta,6.302,6.488,6.52699995,6.627,6.726,6.772799969,6.602,6.447,6.3
Taiwan Province of China,6.298,6.379,6.421999931,6.441,6.446,6.45539999,6.584,6.512,6.535
Kuwait,6.295,6.239,6.105000019,6.083,6.021,6.102099895,6.106,6.106,
Suriname,6.269,6.269,,,,,,,
Trinidad and Tobago,6.168,6.168,6.168000221,6.192,6.192,6.191899776,,,
El Salvador,6.13,6.068,6.002999783,6.167,6.253,6.34829998,6.061,6.12,6.122
Guatemala,6.123,6.324,6.453999996,6.382,6.436,6.398900032,6.435,6.262,6.15
Uzbekistan,6.003,5.987,5.971000195,6.096,6.174,6.257599831,6.179,6.063,6.014
Slovakia,5.995,6.078,6.09800005,6.173,6.198,6.280600071,6.331,6.391,6.469
Japan,5.987,5.921,5.920000076,5.915,5.886,5.870800018,5.94,6.039,6.129
South Korea,5.984,5.835,5.837999821,5.875,5.895,5.872399807,5.845,5.935,5.951
Ecuador,5.975,5.976,6.007999897,5.973,6.028,5.925199986,5.764,5.533,5.559
Bahrain,5.96,6.218,6.086999893,6.105,6.199,6.227300167,6.647,6.647,6.173
Italy,5.948,5.977,5.964000225,6.0,6.223,6.38740015,6.483,6.467,6.405
Bolivia,5.89,5.822,5.822999954,5.752,5.779,5.747499943,5.716,5.6,5.684
Moldova,5.889,5.897,5.837999821,5.64,5.529,5.607500076,5.766,5.857,5.819
Paraguay,5.878,5.538,5.493000031,5.681,5.743,5.692100048,5.653,5.578,5.738
Kazakhstan,5.855,5.919,5.818999767,5.79,5.809,6.057899952,6.152,6.234,6.144
Slovenia,5.848,5.768,5.757999897,5.948,6.118,6.363399982,6.461,6.63,6.65
Lithuania,5.833,5.813,5.90199995,5.952,6.149,6.215499878,6.255,6.446,6.763
Nicaragua,5.828,5.992,6.071000099,6.141,6.105,6.13710022,5.972,6.165,6.259
Peru,5.824,5.743,5.715000153,5.663,5.697,5.796800137,5.84,5.559,5.526
Belarus,5.813,5.802,5.568999767,5.483,5.323,5.539899826,5.534,5.821,
Poland,5.791,5.835,5.97300005,6.123,6.182,6.186299801,6.166,6.123,6.26
Malaysia,5.77,6.005,6.084000111,6.322,5.339,5.384300232,5.384,5.711,6.012
Croatia,5.759,5.488,5.293000221,5.321,5.432,5.504700184,5.882,6.125,6.125
Libya,5.754,5.615,5.525000095,5.566,5.525,5.488800049,5.41,5.33,
Russia,5.716,5.856,5.962999821,5.81,5.648,5.546000004,5.477,5.459,5.661
Jamaica,5.709,5.51,5.31099987,5.89,5.89,5.889800072,6.309,5.85,5.703
North Cyprus,5.695,5.771,5.809999943,,,5.53550005,5.536,5.467,
Cyprus,5.689,5.546,5.620999813,5.762,5.718,6.15899992,6.223,6.221,6.13
Algeria,5.605,6.355,5.872000217,5.295,5.211,5.005099773,4.887,5.122,5.329
Kosovo,5.589,5.401,5.278999805,5.662,6.1,6.325200081,6.372,6.455,6.368
Turkmenistan,5.548,5.658,5.822000027,5.636,5.247,5.119100094,5.066,5.474,
Mauritius,5.477,5.648,5.629000187,5.891,5.888,6.101299763,6.049,6.071,5.902
Hong Kong S.A.R. of China,5.474,5.458,5.472000122,5.43,5.43,5.510399818,5.477,5.425,5.308
Estonia,5.429,5.517,5.611000061,5.739,5.893,6.021800041,6.189,6.341,6.455
Indonesia,5.399,5.314,5.262000084,5.093,5.192,5.285600185,5.345,5.24,5.277
Vietnam,5.36,5.061,5.073999882,5.103,5.175,5.353499889,5.411,5.485,5.763
Turkey,5.332,5.389,5.5,5.483,5.373,5.131800175,4.948,4.744,
Kyrgyzstan,5.286,5.185,5.004000187,5.131,5.261,5.541500092,5.744,5.828,5.825
Nigeria,5.268,4.875,5.073999882,5.155,5.265,4.724100113,4.759,4.552,4.981
Bhutan,5.253,5.196,5.011000156,5.082,5.082,,,,
Azerbaijan,5.212,5.291,5.234000206,5.201,5.208,5.164800167,5.171,5.173,
Pakistan,5.194,5.132,5.269000053,5.472,5.653,5.69329977,4.934,4.516,4.555
Jordan,5.192,5.303,5.335999966,5.161,4.906,4.633399963,4.395,4.152,4.12
Montenegro,5.192,5.161,5.236999989,5.347,5.523,5.54610014,5.581,5.547,5.722
China,5.14,5.245,5.272999763,5.246,5.191,5.123899937,5.339,5.585,5.818
Zambia,5.129,4.795,4.513999939,4.377,4.107,3.759399891,4.073,3.76,3.982
Romania,5.124,5.528,5.824999809,5.945,6.07,6.123700142,6.14,6.477,6.589
Serbia,5.123,5.177,5.394999981,5.398,5.603,5.77820015,6.078,6.178,6.144
Portugal,5.102,5.123,5.195000172,5.41,5.693,5.910900116,5.929,6.016,5.968
Latvia,5.098,5.56,5.849999905,5.933,5.94,5.949999809,6.032,6.18,6.213
Philippines,5.073,5.279,5.429999828,5.524,5.631,6.006000042,5.88,5.904,5.523
Somaliland region,5.057,,,,,,,,
Morocco,5.013,5.151,5.235000134,5.254,5.208,5.094799995,4.918,5.06,4.903
North Macedonia,5.007,5.121,5.175000191,5.185,5.274,5.159800053,5.101,5.199,5.254
Mozambique,4.971,,4.550000191,4.417,4.466,4.623600006,4.794,5.048,4.954
Albania,4.959,4.655,4.644000053,4.586,4.719,4.882699966,5.117,5.199,5.277
Bosnia and Herzegovina,4.949,5.163,5.18200016,5.129,5.386,5.674099922,5.813,5.768,5.633
Lesotho,4.898,,3.808000088,3.808,3.802,3.652800083,3.512,3.512,
Dominican Republic,4.885,5.155,5.230000019,5.302,5.425,5.689199924,5.545,5.737,5.569
Laos,4.876,4.876,,4.623,4.796,4.888599873,5.03,5.14,5.111
Mongolia,4.874,4.907,4.954999924,5.125,5.285,5.456200123,5.677,5.761,5.84
Swaziland,4.867,,,,4.212,4.308100224,4.308,,
Greece,4.857,5.033,5.227000237,5.358,5.287,5.514999866,5.723,5.948,5.931
Lebanon,4.839,5.129,5.224999905,5.358,5.197,4.771500111,4.584,2.955,2.392
Hungary,4.8,5.145,5.323999882,5.62,5.758,6.000400066,5.992,6.086,6.041
Honduras,4.788,4.871,5.181000233,5.504,5.86,5.953199863,5.919,6.022,6.023
Tajikistan,4.786,4.996,5.040999889,5.199,5.467,5.555699825,5.466,5.377,5.33
Tunisia,4.739,5.045,4.804999828,4.592,4.461,4.392199993,4.596,4.516,4.497
Palestinian Territories,4.715,4.754,4.775000095,4.743,4.696,4.552800179,4.517,4.483,
Bangladesh,4.694,4.643,4.607999802,4.5,4.456,4.832799911,5.025,5.155,4.282
Iran,4.686,4.813,4.691999912,4.707,4.548,4.672399998,4.721,4.888,4.876
Ukraine,4.681,4.324,4.096000195,4.103,4.332,4.56069994,4.875,5.084,5.071
Iraq,4.677,4.575,4.497000217,4.456,4.437,4.784800053,4.854,4.941,4.941
South Africa,4.642,4.459,4.828999996,4.724,4.722,4.814099789,4.956,5.194,5.275
Ghana,4.633,4.276,4.119999886,4.657,4.996,5.147999763,5.088,4.872,4.605
Zimbabwe,4.61,4.193,3.875,3.692,3.663,3.299200058,3.145,2.995,3.204
Liberia,4.571,3.622,3.532999992,3.495,3.975,4.557899952,4.625,5.122,4.042
India,4.565,4.404,4.315000057,4.19,4.015,3.573299885,3.819,3.777,4.036
Sudan,4.55,4.139,4.138999939,4.139,,,,,
Haiti,4.518,4.028,3.602999926,3.582,3.597,3.720799923,3.615,,
Congo (Kinshasa),4.517,4.272,4.28000021,4.245,4.418,4.31099987,,,3.207
Nepal,4.514,4.793,4.961999893,4.88,4.913,5.137199879,5.269,5.377,5.36
Ethiopia,4.512,4.508,4.460000038,4.35,4.286,4.186200142,4.275,4.241,4.091
Sierra Leone,4.507,4.635,4.709000111,4.571,4.374,3.926399946,3.849,3.574,3.138
Mauritania,4.436,4.201,4.291999817,4.356,4.49,4.374599934,4.227,4.153,4.724
Kenya,4.419,4.356,4.552999973,4.41,4.509,4.583000183,4.607,4.543,4.487
Djibouti,4.369,,,,,,,,
Armenia,4.35,4.36,4.375999928,4.321,4.559,4.676799774,5.283,5.399,5.342
Botswana,4.332,3.974,3.766000032,3.59,3.488,3.478899956,3.467,3.471,3.435
Myanmar,4.307,4.395,4.545000076,4.308,4.36,4.308000088,4.426,4.394,4.372
Georgia,4.297,4.252,4.285999775,4.34,4.519,4.672599792,4.891,4.973,5.109
Malawi,4.292,4.156,3.970000029,3.587,3.41,3.538000107,3.6,3.75,3.495
Sri Lanka,4.271,4.415,4.440000057,4.471,4.366,4.327000141,4.325,4.362,4.442
Cameroon,4.252,4.513,4.695000172,4.975,5.044,5.084899902,5.142,5.048,4.973
Bulgaria,4.218,4.217,4.714000225,4.933,5.011,5.101500034,5.266,5.371,5.466
Egypt,4.194,4.362,4.735000134,4.419,4.166,4.151400089,4.283,4.288,4.17
Yemen,4.077,3.724,3.592999935,3.355,3.38,3.527400017,3.658,4.197,
Angola,4.033,3.866,3.795000076,3.795,,,,,
Mali,3.995,4.073,4.190000057,4.447,4.39,4.729300022,4.723,4.479,4.198
Congo (Brazzaville),3.989,4.236,4.290999889,4.559,4.812,5.194399834,5.342,,5.267
Comoros,3.956,3.956,,,3.973,4.288599968,4.289,4.609,3.545
Uganda,3.931,3.739,4.080999851,4.161,4.189,4.43200016,4.636,4.603,4.432
Senegal,3.904,4.219,4.534999847,4.631,4.681,4.980800152,5.132,5.046,4.855
Gabon,3.896,4.121,4.465000153,4.758,4.799,4.829299927,4.852,4.958,5.035
Niger,3.845,3.856,4.027999878,4.166,4.628,4.909599781,5.074,5.003,4.501
Cambodia,3.819,3.907,4.168000221,4.433,4.7,4.848400116,4.83,4.64,4.393
Tanzania,3.781,3.666,3.348999977,3.303,3.231,3.476200104,3.623,3.702,3.694
Madagascar,3.681,3.695,3.644000053,3.774,3.933,4.165599823,4.208,4.339,4.019
Central African Republic,3.678,,2.693000078,3.083,3.083,3.475899935,,,
Chad,3.667,3.763,3.936000109,4.301,4.35,4.422699928,4.355,4.251,4.397
Guinea,3.656,3.607,3.506999969,3.964,4.534,4.949299812,4.984,4.891,5.072
Ivory Coast,3.655,3.916,4.179999828,4.671,4.944,5.233300209,5.306,5.235,5.053
Burkina Faso,3.587,3.739,4.032000065,4.424,4.587,4.768700123,4.834,4.67,4.638
Afghanistan,3.575,3.36,3.79399991,3.632,3.203,2.566900015,2.523,2.404,1.859
Rwanda,3.465,3.515,3.470999956,3.408,3.334,3.312299967,3.415,3.268,
Benin,3.34,3.484,3.657000065,4.141,4.883,5.21600008,5.045,4.623,4.374
Syria,3.006,3.069,3.461999893,3.462,3.462,,,,
Burundi,2.905,2.905,2.904999971,2.905,3.775,3.775300026,3.775,,
Togo,2.839,3.303,3.494999886,3.999,4.085,4.187200069,4.107,4.112,4.137
Puerto Rico,,7.039,,,,,,,
Belize,,5.956,5.955999851,5.956,,,,,
Somalia,,5.44,5.151000023,4.982,4.668,,,,
Somaliland Region,,5.057,,,,,,,
Namibia,,4.574,4.573999882,4.441,4.639,4.571100235,4.574,4.459,4.631
South Sudan,,3.832,3.59100008,3.254,2.853,2.816600084,,,
Gambia,,,,,4.516,4.750599861,5.051,5.164,4.279
Maldives,,,,,,5.197599888,5.198,,
Czechia,,,,,,,,6.92,6.845
Congo,,,,,,,,5.075,
Eswatini,,,,,,,,4.396,
State of Palestine,,,,,,,,,4.908
Turkiye,,,,,,,,,4.614
